user_id,skill_offered,skill_requested,experience_level,category,rating,interaction
U833,React,Power BI,Beginner,Programming,4,request
U814,Node.js,Spring Boot,Beginner,Programming,3,view
U135,Excel,Machine Learning,Advanced,Analytics,3,completed
U122,Power BI,Node.js,Beginner,Analytics,3,completed
U451,Power BI,Excel,Advanced,Analytics,3,completed
U994,Python,Power BI,Advanced,Programming,3,request
U186,UI/UX Design,Spring Boot,Beginner,Design,5,completed
U608,Python,Power BI,Advanced,Programming,3,completed
U712,React,UI/UX Design,Beginner,Programming,5,view
U742,JavaScript,Machine Learning,Advanced,Programming,5,view
U800,Java,Machine Learning,Intermediate,Programming,5,request
U781,Java,Data Visualization,Intermediate,Programming,3,completed
U438,SQL,Figma,Beginner,Database,5,completed
U749,Excel,Java,Beginner,Analytics,4,request
U958,Deep Learning,UI/UX Design,Intermediate,AI,3,request
U282,Deep Learning,SQL,Beginner,AI,4,request
U168,Power BI,SQL,Intermediate,Analytics,3,request
U307,Java,Data Visualization,Beginner,Programming,5,request
U190,Spring Boot,Node.js,Intermediate,Programming,3,completed
U103,Figma,SQL,Intermediate,Design,3,completed
U249,Deep Learning,UI/UX Design,Advanced,AI,3,request
U77,SQL,Java,Beginner,Database,4,request
U552,JavaScript,Python,Beginner,Programming,4,request
U932,Figma,Java,Intermediate,Design,3,completed
U302,Figma,Power BI,Intermediate,Design,3,view
U742,Power BI,Machine Learning,Intermediate,Analytics,4,request
U615,UI/UX Design,JavaScript,Beginner,Design,5,completed
U227,JavaScript,Node.js,Advanced,Programming,3,view
U404,Power BI,Python,Beginner,Analytics,4,request
U760,Power BI,Deep Learning,Advanced,Analytics,3,completed
U269,UI/UX Design,JavaScript,Advanced,Design,3,view
U149,React,UI/UX Design,Advanced,Programming,4,completed
U640,UI/UX Design,Node.js,Advanced,Design,3,view
U478,UI/UX Design,Java,Beginner,Design,3,request
U640,Machine Learning,Excel,Advanced,AI,3,completed
U974,Power BI,Data Analysis,Intermediate,Analytics,3,completed
U931,SQL,JavaScript,Beginner,Database,3,view
U833,Python,JavaScript,Advanced,Programming,4,completed
U922,Figma,React,Intermediate,Design,5,completed
U904,Figma,Deep Learning,Intermediate,Design,4,completed
U505,JavaScript,Deep Learning,Beginner,Programming,4,completed
U682,SQL,Machine Learning,Intermediate,Database,5,request
U883,JavaScript,Excel,Advanced,Programming,5,completed
U619,Deep Learning,JavaScript,Beginner,AI,3,request
U417,Data Visualization,Data Analysis,Beginner,Analytics,3,completed
U271,Figma,Excel,Advanced,Design,5,request
U804,Node.js,Excel,Beginner,Programming,4,completed
U626,Excel,Data Visualization,Beginner,Analytics,5,completed
U927,Java,Data Visualization,Intermediate,Programming,5,request
U285,Excel,Data Analysis,Beginner,Analytics,3,view
U54,Deep Learning,Node.js,Intermediate,AI,4,view
U326,UI/UX Design,Deep Learning,Intermediate,Design,4,completed
U302,JavaScript,React,Beginner,Programming,4,request
U157,Machine Learning,Data Visualization,Advanced,AI,5,request
U993,JavaScript,Figma,Advanced,Programming,4,view
U290,Deep Learning,Java,Advanced,AI,4,completed
U490,React,Deep Learning,Intermediate,Programming,3,completed
U588,Figma,JavaScript,Advanced,Design,4,completed
U950,Node.js,Power BI,Beginner,Programming,3,completed
U673,Data Analysis,Excel,Intermediate,Analytics,5,view
U413,React,JavaScript,Advanced,Programming,4,view
U263,Java,Deep Learning,Beginner,Programming,4,request
U616,Node.js,Machine Learning,Beginner,Programming,3,request
U603,UI/UX Design,Deep Learning,Intermediate,Design,3,completed
U269,Python,Machine Learning,Advanced,Programming,3,request
U742,Data Visualization,Deep Learning,Intermediate,Analytics,4,request
U591,Power BI,Figma,Intermediate,Analytics,5,completed
U353,UI/UX Design,Machine Learning,Advanced,Design,5,completed
U98,Figma,JavaScript,Beginner,Design,5,view
U684,Deep Learning,Power BI,Intermediate,AI,4,completed
U802,Machine Learning,Data Visualization,Advanced,AI,4,completed
U277,Data Visualization,UI/UX Design,Advanced,Analytics,5,completed
U734,SQL,Data Visualization,Beginner,Database,4,completed
U966,SQL,Power BI,Beginner,Database,5,completed
U491,Figma,Python,Beginner,Design,5,completed
U325,UI/UX Design,Machine Learning,Intermediate,Design,4,completed
U579,Figma,Excel,Beginner,Design,3,request
U848,Python,React,Advanced,Programming,4,view
U746,Data Visualization,Machine Learning,Intermediate,Analytics,3,view
U157,Power BI,Python,Advanced,Analytics,3,completed
U109,React,Deep Learning,Advanced,Programming,4,completed
U552,Excel,UI/UX Design,Beginner,Analytics,4,request
U636,Deep Learning,Power BI,Advanced,AI,4,completed
U737,Excel,Data Visualization,Intermediate,Analytics,3,completed
U554,SQL,Data Analysis,Beginner,Database,4,completed
U837,Data Visualization,JavaScript,Intermediate,Analytics,3,view
U480,SQL,Java,Advanced,Database,5,request
U625,SQL,UI/UX Design,Intermediate,Database,4,completed
U280,Data Analysis,Node.js,Advanced,Analytics,4,request
U807,Figma,Deep Learning,Beginner,Design,3,request
U960,SQL,Excel,Beginner,Database,4,request
U402,Figma,Node.js,Advanced,Design,4,request
U491,Python,JavaScript,Intermediate,Programming,4,completed
U284,Deep Learning,Spring Boot,Intermediate,AI,5,request
U946,Deep Learning,Figma,Intermediate,AI,4,completed
U718,JavaScript,Node.js,Intermediate,Programming,4,completed
U590,Node.js,UI/UX Design,Beginner,Programming,5,view
U906,Java,React,Beginner,Programming,4,completed
U354,Data Analysis,React,Advanced,Analytics,4,completed
U550,Excel,UI/UX Design,Intermediate,Analytics,3,request
U394,Data Visualization,JavaScript,Intermediate,Analytics,5,completed
U833,Power BI,Figma,Advanced,Analytics,4,completed
U252,Excel,Python,Intermediate,Analytics,3,request
U287,Java,Machine Learning,Beginner,Programming,3,request
U767,SQL,Node.js,Advanced,Database,5,request
U482,Deep Learning,UI/UX Design,Intermediate,AI,5,request
U763,Python,SQL,Beginner,Programming,5,completed
U606,Node.js,Figma,Beginner,Programming,4,request
U235,Python,Node.js,Advanced,Programming,5,completed
U201,Machine Learning,Data Analysis,Beginner,AI,4,request
U694,Node.js,Data Analysis,Intermediate,Programming,3,completed
U523,UI/UX Design,Power BI,Beginner,Design,5,completed
U378,Excel,Machine Learning,Intermediate,Analytics,3,completed
U916,Excel,Machine Learning,Advanced,Analytics,5,view
U844,Java,SQL,Beginner,Programming,5,completed
U107,Power BI,React,Advanced,Analytics,4,completed
U368,Excel,UI/UX Design,Intermediate,Analytics,3,view
U233,Java,Data Analysis,Intermediate,Programming,3,view
U917,Excel,Node.js,Advanced,Analytics,3,completed
U163,Machine Learning,React,Advanced,AI,3,completed
U378,Deep Learning,Spring Boot,Advanced,AI,3,completed
U270,Figma,Excel,Intermediate,Design,5,completed
U992,Data Analysis,Python,Intermediate,Analytics,4,completed
U671,Power BI,Java,Intermediate,Analytics,5,request
U27,Data Visualization,UI/UX Design,Beginner,Analytics,4,completed
U333,Java,JavaScript,Beginner,Programming,5,completed
U554,Node.js,React,Advanced,Programming,5,view
U484,Spring Boot,Data Analysis,Beginner,Programming,3,view
U117,Data Analysis,Data Visualization,Beginner,Analytics,3,completed
U196,React,Python,Advanced,Programming,3,completed
U476,Data Visualization,Node.js,Beginner,Analytics,5,completed
U578,Deep Learning,UI/UX Design,Beginner,AI,3,request
U458,Deep Learning,Excel,Beginner,AI,3,completed
U149,JavaScript,Python,Beginner,Programming,3,request
U124,Data Analysis,Node.js,Advanced,Analytics,4,completed
U684,Figma,Python,Beginner,Design,3,view
U185,Java,Excel,Beginner,Programming,5,completed
U37,UI/UX Design,SQL,Beginner,Design,4,completed
U518,Figma,Node.js,Beginner,Design,5,completed
U739,Spring Boot,Power BI,Intermediate,Programming,3,completed
U188,Machine Learning,Deep Learning,Beginner,AI,5,request
U58,Power BI,Machine Learning,Beginner,Analytics,5,completed
U385,UI/UX Design,Machine Learning,Advanced,Design,5,view
U394,Node.js,SQL,Intermediate,Programming,5,completed
U568,Python,React,Advanced,Programming,5,view
U712,JavaScript,Python,Advanced,Programming,3,view
U294,Java,UI/UX Design,Advanced,Programming,4,completed
U656,Python,Machine Learning,Intermediate,Programming,4,request
U970,Power BI,Machine Learning,Intermediate,Analytics,3,completed
U933,Excel,Data Visualization,Intermediate,Analytics,3,completed
U245,Excel,Figma,Beginner,Analytics,4,view
U613,Power BI,Data Analysis,Advanced,Analytics,5,completed
U545,Python,Deep Learning,Advanced,Programming,5,request
U896,React,Figma,Beginner,Programming,5,completed
U13,React,Power BI,Beginner,Programming,3,request
U748,UI/UX Design,React,Intermediate,Design,4,view
U904,Deep Learning,Machine Learning,Intermediate,AI,3,completed
U89,Data Analysis,React,Beginner,Analytics,4,completed
U652,Python,Data Analysis,Intermediate,Programming,3,completed
U861,Spring Boot,Figma,Intermediate,Programming,4,request
U424,Machine Learning,React,Advanced,AI,3,completed
U527,Data Visualization,Excel,Intermediate,Analytics,3,completed
U433,JavaScript,Spring Boot,Beginner,Programming,5,view
U801,Power BI,Data Visualization,Intermediate,Analytics,3,completed
U703,Machine Learning,SQL,Advanced,AI,5,completed
U977,React,Machine Learning,Intermediate,Programming,4,completed
U568,Python,Node.js,Beginner,Programming,4,view
U221,Deep Learning,Data Visualization,Advanced,AI,4,request
U388,Data Analysis,Node.js,Intermediate,Analytics,4,view
U781,SQL,UI/UX Design,Intermediate,Database,4,completed
U645,JavaScript,Java,Intermediate,Programming,4,completed
U353,Data Analysis,React,Beginner,Analytics,3,completed
U627,Deep Learning,JavaScript,Intermediate,AI,3,request
U341,Data Analysis,Deep Learning,Advanced,Analytics,5,completed
U293,React,Machine Learning,Advanced,Programming,3,view
U144,Deep Learning,SQL,Intermediate,AI,3,view
U60,SQL,Python,Beginner,Database,4,completed
U616,Deep Learning,React,Intermediate,AI,3,view
U74,Data Visualization,Excel,Advanced,Analytics,4,completed
U846,React,Machine Learning,Beginner,Programming,3,completed
U671,Excel,Machine Learning,Beginner,Analytics,3,completed
U987,Node.js,Data Visualization,Advanced,Programming,5,completed
U995,Power BI,Machine Learning,Beginner,Analytics,4,completed
U626,Excel,React,Intermediate,Analytics,3,completed
U265,Node.js,UI/UX Design,Intermediate,Programming,4,completed
U529,Power BI,Machine Learning,Advanced,Analytics,3,completed
U836,Node.js,UI/UX Design,Intermediate,Programming,4,request
U339,Java,Excel,Intermediate,Programming,3,completed
U80,Spring Boot,Excel,Intermediate,Programming,5,request
U906,Excel,Node.js,Advanced,Analytics,5,view
U105,Excel,Figma,Advanced,Analytics,5,request
U357,Machine Learning,UI/UX Design,Advanced,AI,3,completed
U372,SQL,Deep Learning,Advanced,Database,5,request
U514,Excel,Machine Learning,Beginner,Analytics,3,completed
U154,Power BI,Machine Learning,Intermediate,Analytics,5,completed
U177,Node.js,SQL,Advanced,Programming,3,request
U80,JavaScript,Node.js,Advanced,Programming,5,view
U566,Java,Python,Intermediate,Programming,5,completed
U667,React,SQL,Advanced,Programming,5,view
U868,Data Visualization,Java,Beginner,Analytics,3,completed
U254,Excel,Spring Boot,Beginner,Analytics,5,completed
U763,Deep Learning,Power BI,Advanced,AI,5,request
U206,UI/UX Design,React,Beginner,Design,5,completed
U267,Figma,Node.js,Beginner,Design,3,completed
U153,React,Machine Learning,Advanced,Programming,5,completed
U756,React,SQL,Intermediate,Programming,5,completed
U749,Figma,Excel,Beginner,Design,4,request
U141,SQL,Deep Learning,Beginner,Database,3,view
U485,Data Visualization,React,Beginner,Analytics,5,completed
U524,React,Spring Boot,Beginner,Programming,5,request
U484,Data Analysis,Machine Learning,Advanced,Analytics,4,completed
U874,SQL,JavaScript,Intermediate,Database,4,completed
U430,Deep Learning,Data Analysis,Intermediate,AI,5,completed
U966,Python,UI/UX Design,Intermediate,Programming,5,view
U99,Figma,Spring Boot,Advanced,Design,5,completed
U93,Java,Excel,Advanced,Programming,3,request
U297,Spring Boot,Java,Beginner,Programming,5,view
U751,React,UI/UX Design,Intermediate,Programming,4,completed
U322,Power BI,Java,Beginner,Analytics,5,request
U541,UI/UX Design,Figma,Advanced,Design,3,request
U213,SQL,JavaScript,Advanced,Database,4,request
U766,Python,Data Analysis,Intermediate,Programming,5,completed
U932,SQL,UI/UX Design,Intermediate,Database,4,request
U748,SQL,React,Intermediate,Database,4,view
U240,Excel,Java,Intermediate,Analytics,3,request
U609,Machine Learning,React,Intermediate,AI,3,completed
U611,SQL,UI/UX Design,Intermediate,Database,5,completed
U506,Figma,Power BI,Advanced,Design,4,view
U417,Deep Learning,Node.js,Beginner,AI,4,request
U828,Spring Boot,React,Advanced,Programming,3,completed
U744,Figma,Data Visualization,Advanced,Design,5,completed
U136,React,Data Analysis,Advanced,Programming,5,completed
U990,Java,UI/UX Design,Advanced,Programming,4,completed
U828,Excel,Data Analysis,Intermediate,Analytics,5,request
U644,React,Machine Learning,Advanced,Programming,5,completed
U14,Power BI,Python,Intermediate,Analytics,5,request
U567,UI/UX Design,React,Beginner,Design,5,completed
U820,Python,Excel,Beginner,Programming,4,view
U720,Deep Learning,Data Analysis,Advanced,AI,5,request
U88,Deep Learning,Figma,Advanced,AI,4,completed
U889,SQL,Data Analysis,Intermediate,Database,5,request
U908,Node.js,Deep Learning,Beginner,Programming,5,request
U848,Java,Machine Learning,Beginner,Programming,3,completed
U163,Machine Learning,Java,Advanced,AI,4,view
U399,Power BI,React,Beginner,Analytics,5,request
U491,Figma,React,Advanced,Design,5,request
U561,Node.js,Data Analysis,Advanced,Programming,4,view
U755,React,SQL,Beginner,Programming,5,view
U729,JavaScript,Data Analysis,Advanced,Programming,5,completed
U120,SQL,Python,Intermediate,Database,3,completed
U785,Machine Learning,Data Visualization,Beginner,AI,5,request
U700,Data Visualization,Deep Learning,Intermediate,Analytics,3,completed
U436,Data Analysis,Python,Intermediate,Analytics,5,request
U887,Spring Boot,Data Visualization,Advanced,Programming,3,request
U692,SQL,Excel,Intermediate,Database,5,request
U192,SQL,Power BI,Advanced,Database,3,view
U164,React,Deep Learning,Intermediate,Programming,4,view
U648,UI/UX Design,Node.js,Beginner,Design,3,completed
U495,SQL,JavaScript,Beginner,Database,5,completed
U948,Machine Learning,Java,Intermediate,AI,5,view
U695,Excel,Power BI,Advanced,Analytics,3,completed
U614,JavaScript,SQL,Advanced,Programming,4,completed
U482,Spring Boot,Machine Learning,Advanced,Programming,4,view
U768,Figma,Data Visualization,Advanced,Design,5,completed
U893,Power BI,Java,Intermediate,Analytics,5,completed
U749,Python,Deep Learning,Advanced,Programming,4,request
U31,Java,Power BI,Intermediate,Programming,3,view
U185,JavaScript,SQL,Intermediate,Programming,4,completed
U696,React,JavaScript,Beginner,Programming,4,completed
U666,Node.js,JavaScript,Intermediate,Programming,3,completed
U568,SQL,Machine Learning,Beginner,Database,4,completed
U744,Spring Boot,SQL,Advanced,Programming,5,view
U889,UI/UX Design,Data Visualization,Intermediate,Design,3,view
U176,Power BI,Python,Advanced,Analytics,5,request
U355,UI/UX Design,Data Visualization,Intermediate,Design,3,view
U137,JavaScript,UI/UX Design,Advanced,Programming,5,completed
U254,Power BI,Machine Learning,Beginner,Analytics,4,view
U884,Power BI,Data Visualization,Advanced,Analytics,5,request
U287,React,Machine Learning,Intermediate,Programming,3,view
U110,Data Analysis,SQL,Beginner,Analytics,4,completed
U463,Data Visualization,Machine Learning,Intermediate,Analytics,5,completed
U643,Figma,Spring Boot,Intermediate,Design,3,view
U128,Spring Boot,Data Analysis,Beginner,Programming,3,view
U617,Data Analysis,React,Intermediate,Analytics,4,view
U890,JavaScript,Python,Beginner,Programming,4,completed
U956,Java,Machine Learning,Advanced,Programming,4,completed
U337,Excel,Spring Boot,Intermediate,Analytics,5,request
U330,Java,Spring Boot,Intermediate,Programming,3,request
U880,Data Analysis,Excel,Beginner,Analytics,4,completed
U826,Power BI,Java,Advanced,Analytics,3,completed
U951,Node.js,UI/UX Design,Intermediate,Programming,3,completed
U456,Java,Deep Learning,Beginner,Programming,4,view
U867,React,UI/UX Design,Advanced,Programming,3,view
U87,Excel,Spring Boot,Beginner,Analytics,4,view
U284,Node.js,UI/UX Design,Intermediate,Programming,3,request
U508,Data Analysis,Figma,Beginner,Analytics,5,completed
U126,React,Node.js,Beginner,Programming,5,completed
U891,Python,Machine Learning,Advanced,Programming,3,completed
U443,Node.js,Data Visualization,Beginner,Programming,4,request
U199,UI/UX Design,SQL,Intermediate,Design,5,view
U842,Figma,Machine Learning,Beginner,Design,4,request
U677,UI/UX Design,Machine Learning,Advanced,Design,5,completed
U819,Data Analysis,Excel,Advanced,Analytics,3,completed
U824,Figma,React,Advanced,Design,5,completed
U103,Python,Java,Intermediate,Programming,4,request
U729,JavaScript,Excel,Intermediate,Programming,5,view
U967,Node.js,React,Advanced,Programming,4,completed
U877,React,UI/UX Design,Intermediate,Programming,3,completed
U230,SQL,Excel,Beginner,Database,4,request
U864,Java,Machine Learning,Intermediate,Programming,3,completed
U358,Python,Node.js,Intermediate,Programming,5,request
U537,Data Analysis,Figma,Advanced,Analytics,4,request
U834,Node.js,React,Beginner,Programming,4,request
U454,SQL,Power BI,Advanced,Database,3,completed
U126,Python,React,Intermediate,Programming,3,view
U376,SQL,Python,Advanced,Database,4,completed
U142,Machine Learning,UI/UX Design,Beginner,AI,3,request
U387,Deep Learning,Figma,Intermediate,AI,5,completed
U900,Figma,Node.js,Beginner,Design,5,request
U550,Data Analysis,SQL,Advanced,Analytics,4,view
U49,Power BI,Machine Learning,Intermediate,Analytics,3,view
U175,Figma,Machine Learning,Intermediate,Design,5,completed
U890,UI/UX Design,Node.js,Intermediate,Design,5,view
U182,Power BI,Deep Learning,Beginner,Analytics,4,completed
U471,Machine Learning,SQL,Intermediate,AI,3,request
U940,Excel,Deep Learning,Advanced,Analytics,5,completed
U102,React,Power BI,Beginner,Programming,3,request
U413,Data Analysis,Excel,Intermediate,Analytics,3,completed
U945,Data Analysis,Data Visualization,Advanced,Analytics,4,request
U17,Spring Boot,Node.js,Intermediate,Programming,5,completed
U96,Data Visualization,Data Analysis,Beginner,Analytics,3,completed
U898,Data Visualization,JavaScript,Beginner,Analytics,3,completed
U31,Excel,Data Analysis,Advanced,Analytics,5,view
U642,Java,Python,Beginner,Programming,4,completed
U401,Power BI,UI/UX Design,Beginner,Analytics,5,completed
U911,Machine Learning,SQL,Advanced,AI,3,view
U554,Java,Data Analysis,Intermediate,Programming,3,request
U655,JavaScript,Power BI,Advanced,Programming,4,completed
U589,Python,Machine Learning,Intermediate,Programming,3,request
U183,Node.js,Java,Intermediate,Programming,5,completed
U40,SQL,React,Intermediate,Database,3,completed
U381,Python,SQL,Beginner,Programming,5,completed
U666,Data Analysis,Deep Learning,Intermediate,Analytics,4,request
U336,Spring Boot,Deep Learning,Intermediate,Programming,4,completed
U697,SQL,JavaScript,Advanced,Database,4,request
U814,Deep Learning,Node.js,Intermediate,AI,3,view
U768,Node.js,Data Visualization,Beginner,Programming,5,completed
U836,JavaScript,React,Intermediate,Programming,4,request
U273,Data Visualization,Data Analysis,Beginner,Analytics,5,completed
U50,Machine Learning,SQL,Intermediate,AI,4,request
U762,Power BI,SQL,Advanced,Analytics,5,completed
U391,Excel,Python,Advanced,Analytics,5,completed
U797,Data Visualization,Java,Intermediate,Analytics,5,view
U602,SQL,Data Visualization,Intermediate,Database,5,view
U81,Spring Boot,Java,Beginner,Programming,5,completed
U418,React,Spring Boot,Advanced,Programming,4,completed
U170,Power BI,Node.js,Intermediate,Analytics,4,request
U123,Python,React,Advanced,Programming,5,view
U574,Figma,Data Visualization,Advanced,Design,3,completed
U676,JavaScript,Data Analysis,Intermediate,Programming,3,request
U489,Python,Data Visualization,Beginner,Programming,5,completed
U707,Java,Figma,Intermediate,Programming,3,completed
U652,JavaScript,Python,Intermediate,Programming,5,view
U461,Data Analysis,Machine Learning,Advanced,Analytics,4,request
U779,UI/UX Design,Python,Beginner,Design,3,completed
U633,Power BI,Deep Learning,Beginner,Analytics,4,request
U737,Excel,JavaScript,Intermediate,Analytics,3,request
U134,Java,React,Beginner,Programming,3,request
U746,JavaScript,Python,Intermediate,Programming,4,request
U330,Python,Deep Learning,Intermediate,Programming,5,completed
U514,Excel,Machine Learning,Advanced,Analytics,4,request
U47,Java,Machine Learning,Intermediate,Programming,5,view
U501,Figma,Excel,Intermediate,Design,5,completed
U353,Figma,Node.js,Intermediate,Design,4,request
U740,Figma,Excel,Beginner,Design,4,request
U214,SQL,Machine Learning,Advanced,Database,4,request
U591,Figma,Node.js,Intermediate,Design,5,completed
U599,JavaScript,Machine Learning,Beginner,Programming,5,request
U208,SQL,Figma,Advanced,Database,3,request
U207,JavaScript,React,Beginner,Programming,4,view
U189,Spring Boot,Excel,Advanced,Programming,4,completed
U567,Python,UI/UX Design,Beginner,Programming,3,request
U114,Data Visualization,Excel,Beginner,Analytics,3,completed
U808,UI/UX Design,Figma,Intermediate,Design,3,request
U29,Java,JavaScript,Beginner,Programming,4,completed
U49,UI/UX Design,Data Analysis,Advanced,Design,4,view
U866,Node.js,Machine Learning,Beginner,Programming,4,view
U927,SQL,Data Visualization,Advanced,Database,4,completed
U456,Node.js,Data Analysis,Beginner,Programming,4,request
U377,SQL,Data Visualization,Beginner,Database,3,view
U905,Data Visualization,Python,Beginner,Analytics,3,completed
U379,React,Excel,Beginner,Programming,3,completed
U634,UI/UX Design,Figma,Advanced,Design,3,request
U866,Java,SQL,Beginner,Programming,4,completed
U798,Python,Power BI,Intermediate,Programming,5,request
U783,Deep Learning,Power BI,Beginner,AI,4,request
U556,Data Analysis,Java,Beginner,Analytics,3,completed
U215,Excel,Power BI,Beginner,Analytics,5,completed
U930,Java,Data Analysis,Beginner,Programming,4,request
U197,React,Data Analysis,Beginner,Programming,3,completed
U279,Machine Learning,Python,Beginner,AI,5,completed
U96,Java,Power BI,Beginner,Programming,5,request
U106,React,Spring Boot,Beginner,Programming,5,request
U548,Data Visualization,Spring Boot,Advanced,Analytics,3,request
U350,Spring Boot,Power BI,Advanced,Programming,4,request
U470,JavaScript,Data Analysis,Beginner,Programming,5,completed
U517,Machine Learning,Data Analysis,Advanced,AI,4,view
U295,Node.js,Figma,Advanced,Programming,3,request
U121,Java,Machine Learning,Advanced,Programming,3,view
U870,Node.js,Java,Advanced,Programming,4,completed
U132,Spring Boot,Power BI,Beginner,Programming,5,request
U66,Data Analysis,Machine Learning,Beginner,Analytics,3,view
U984,JavaScript,Python,Beginner,Programming,4,request
U126,Power BI,Node.js,Intermediate,Analytics,3,view
U620,JavaScript,UI/UX Design,Intermediate,Programming,5,view
U259,Data Visualization,Machine Learning,Intermediate,Analytics,3,completed
U821,JavaScript,Excel,Advanced,Programming,4,completed
U979,UI/UX Design,Data Visualization,Intermediate,Design,4,completed
U336,Deep Learning,Java,Advanced,AI,5,request
U426,Data Visualization,Node.js,Advanced,Analytics,5,completed
U466,Figma,JavaScript,Advanced,Design,5,request
U914,Figma,Spring Boot,Beginner,Design,3,view
U851,React,Java,Intermediate,Programming,3,request
U518,Node.js,Power BI,Beginner,Programming,5,completed
U879,Machine Learning,Python,Advanced,AI,4,completed
U788,Deep Learning,JavaScript,Intermediate,AI,5,request
U918,Machine Learning,Data Analysis,Intermediate,AI,5,request
U430,Machine Learning,Data Visualization,Intermediate,AI,3,completed
U781,React,Figma,Advanced,Programming,3,request
U601,React,Data Visualization,Intermediate,Programming,4,completed
U199,SQL,Node.js,Advanced,Database,3,completed
U233,Data Analysis,Excel,Intermediate,Analytics,4,request
U819,React,Figma,Intermediate,Programming,4,request
U121,Spring Boot,Node.js,Beginner,Programming,4,request
U567,Spring Boot,Machine Learning,Beginner,Programming,3,view
U184,Spring Boot,Power BI,Beginner,Programming,3,completed
U920,SQL,Excel,Advanced,Database,4,completed
U598,React,Machine Learning,Beginner,Programming,4,view
U648,JavaScript,Power BI,Beginner,Programming,4,completed
U559,Excel,Java,Beginner,Analytics,4,completed
U561,UI/UX Design,Machine Learning,Advanced,Design,5,completed
U411,Node.js,Spring Boot,Intermediate,Programming,4,request
U868,SQL,Machine Learning,Intermediate,Database,3,completed
U548,Data Analysis,Spring Boot,Advanced,Analytics,5,completed
U416,Data Visualization,JavaScript,Advanced,Analytics,5,completed
U259,Node.js,React,Advanced,Programming,4,completed
U692,Node.js,SQL,Intermediate,Programming,3,completed
U693,UI/UX Design,Node.js,Beginner,Design,5,completed
U598,Data Visualization,Deep Learning,Intermediate,Analytics,4,request
U430,Data Visualization,JavaScript,Intermediate,Analytics,3,completed
U951,Java,Excel,Intermediate,Programming,4,completed
U349,Figma,Excel,Intermediate,Design,4,view
U628,JavaScript,React,Advanced,Programming,5,completed
U70,Java,SQL,Advanced,Programming,5,completed
U476,Machine Learning,Data Analysis,Intermediate,AI,5,completed
U16,Python,Excel,Intermediate,Programming,3,request
U871,React,Spring Boot,Beginner,Programming,3,view
U361,Data Analysis,UI/UX Design,Intermediate,Analytics,5,completed
U566,React,Machine Learning,Advanced,Programming,5,request
U294,Data Analysis,Spring Boot,Beginner,Analytics,4,completed
U765,Node.js,Data Visualization,Intermediate,Programming,3,completed
U928,Figma,UI/UX Design,Beginner,Design,5,request
U844,UI/UX Design,Python,Intermediate,Design,5,request
